National Institute of Technology Uttarakhand,"Civil Engineering (4 Years, Bachelor of Technology)",OS,47240,48801
National Institute of Technology Uttarakhand,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,14432,18447
National Institute of Technology Uttarakhand,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,29472,31544
National Institute of Technology Uttarakhand,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,19911,25380
National Institute of Technology Uttarakhand,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,41479,42700
