National Institute of Technology Goa,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",OS,22714,24214
National Institute of Technology Goa,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,15535,19148
National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,27891,35307
National Institute of Technology Hamirpur,"Architecture (5 Years, Bachelor of Architecture)",OS,921,1041
National Institute of Technology Hamirpur,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,36890,42702
National Institute of Technology Hamirpur,"Civil Engineering (4 Years, Bachelor of Technology)",OS,32678,47137
National Institute of Technology Hamirpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,9929,12426
National Institute of Technology Hamirpur,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OS,10683,14111
National Institute of Technology Hamirpur,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,22648,26867
National Institute of Technology Hamirpur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,15797,18163
National Institute of Technology Hamirpur,"Electronics and Communication Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OS,19830,21405
National Institute of Technology Hamirpur,"Engineering Physics (4 Years, Bachelor of Technology)",OS,17132,33687
National Institute of Technology Hamirpur,"Materials Science and Engineering (4 Years, Bachelor of Technology)",OS,43743,49915
National Institute of Technology Hamirpur,"Mathematics and Computing (4 Years, Bachelor of Technology)",OS,13095,15463
National Institute of Technology Hamirpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,27459,36665
National Institute of Technology Jaipur,"Architecture (5 Years, Bachelor of Architecture)",OS,428,565
National Institute of Technology Jaipur,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",OS,5026,6408
National Institute of Technology Jaipur,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,22184,26958
National Institute of Technology Jaipur,"Civil Engineering (4 Years, Bachelor of Technology)",OS,18397,34032
National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,2684,4909
National Institute of Technology Jaipur,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,7944,15422
National Institute of Technology Jaipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,6828,10168
National Institute of Technology Jaipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,14832,22295
National Institute of Technology Jaipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OS,35128,39406
National Institute of Technology Jalandhar,"Bio Technology (4 Years, Bachelor of Technology)",OS,31978,49496
National Institute of Technology Jalandhar,"Chemical Engineering (4 Years, Bachelor of Technology)",OS,37066,40417
National Institute of Technology Jalandhar,"Civil Engineering (4 Years, Bachelor of Technology)",OS,33187,44281
National Institute of Technology Jalandhar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,9028,11017
National Institute of Technology Jalandhar,"Data Science and Engineering (4 Years, Bachelor of Technology)",OS,13020,13373
National Institute of Technology Jalandhar,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,19308,22308
National Institute of Technology Jalandhar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,13926,15255
National Institute of Technology Jalandhar,"Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",OS,15807,17582
National Institute of Technology Jalandhar,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",OS,36660,48352
National Institute of Technology Jalandhar,"Information Technology (4 Years, Bachelor of Technology)",OS,11431,13180
National Institute of Technology Jalandhar,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",OS,24861,33381
National Institute of Technology Jalandhar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,26521,33152
National Institute of Technology Jalandhar,"Textile Technology (4 Years, Bachelor of Technology)",OS,49617,53354
National Institute of Technology Jamshedpur,"Civil Engineering (4 Years, Bachelor of Technology)",OS,35223,43745
National Institute of Technology Jamshedpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,3260,9204
National Institute of Technology Jamshedpur,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,15352,20752
National Institute of Technology Jamshedpur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,11838,14181
National Institute of Technology Jamshedpur,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",OS,15852,21415
